estimator,importance,label
AUD_CAD_low,0.0004840798028453719,USD_CHF_ma30
AUD_CAD_low,0.0005875136994291097,USD_CHF_open
AUD_CAD_low,0.001846551302151056,USD_CHF_vol
AUD_CAD_low,0.00254766370926518,USD_CNH_close
AUD_CAD_low,0.003264191807829775,USD_CNH_high
AUD_CAD_low,0.0011514487196109258,USD_CNH_low
AUD_CAD_low,0.002056447894574376,USD_CZK_close
AUD_CAD_low,0.0032780749788798857,USD_CZK_vol
AUD_CAD_low,0.0025361159241583664,USD_HUF_close
AUD_CAD_low,0.0011303801002213731,USD_HUF_high
AUD_CAD_low,0.001042208903527353,USD_HUF_low
AUD_CAD_low,0.002015488709730562,USD_JPY_high
AUD_CAD_low,0.002143470301234629,USD_NOK_close
AUD_CAD_low,0.0005525632113858592,USD_NOK_open
AUD_CAD_low,0.002435500015053549,USD_PLN_high
AUD_CAD_low,0.013702396703592967,USD_SAR_close
AUD_CAD_low,0.0017812098085414618,USD_SAR_high
AUD_CAD_low,0.0015613652831234504,USD_SEK_close
AUD_CAD_low,0.0039237567889358616,USD_THB_low
AUD_CAD_low,0.0007970418064360274,USD_TRY_low
AUD_CAD_low,0.00028808560091420077,USD_ZAR_close
AUD_CAD_low,0.0008048397012316855,USD_ZAR_low
AUD_CAD_low,0.0003757523045351263,WHEAT_USD_close
AUD_CAD_low,0.0005864242921234109,WHEAT_USD_open
AUD_CAD_low,0.0032833255791047122,WHEAT_USD_vol
AUD_CAD_low,0.0037021254011051496,WTICO_USD_high
AUD_CAD_low,0.0009618764997867402,WTICO_USD_open
AUD_CAD_low,0.0026914507088804385,XAG_CAD_low
AUD_CAD_low,0.00146738632247434,XAG_CAD_open
AUD_CAD_low,0.000669659799314104,XAG_CAD_vol
AUD_CAD_low,0.006139052511571208,XAG_EUR_close
AUD_CAD_low,0.0015983990069798892,XAG_EUR_high
AUD_CAD_low,0.0021933256921329303,XAG_GBP_low
AUD_CAD_low,0.0036199570931785274,XAG_HKD_close
AUD_CAD_low,0.007645439643965801,XAG_JPY_vol
AUD_CAD_low,0.0021401726899057394,XAG_NZD_high
AUD_CAD_low,0.004982057313100086,XAG_USD_close
AUD_CAD_low,0.0011344046251906548,XAG_USD_open
AUD_CAD_low,0.0005307460050971713,XAG_USD_vol
AUD_CAD_low,0.005617623588477727,XAU_CHF_close
AUD_CAD_low,0.0033526275965414243,XAU_CHF_low
AUD_CAD_low,0.0022761923100915737,XAU_EUR_high
AUD_CAD_low,0.01011999454931356,XAU_GBP_low
AUD_CAD_low,0.016978546884274692,XAU_JPY_high
AUD_CAD_low,0.002691163695999421,XAU_JPY_low
AUD_CAD_low,0.0013363718026084825,XAU_JPY_ma30
AUD_CAD_low,0.0005260329016891774,XAU_NZD_close
AUD_CAD_low,0.00132700849462708,XAU_NZD_high
AUD_CAD_low,0.002132551207978395,XAU_NZD_open
AUD_CAD_low,0.0011649265907180961,XAU_XAG_close
AUD_CAD_low,0.0008855382948240731,XAU_XAG_high
AUD_CAD_low,0.0011387437934899935,XAU_XAG_low
AUD_CAD_low,0.002489624821464531,XAU_XAG_vol
AUD_CAD_low,0.0005237918048806023,XPD_USD_open
AUD_CAD_low,0.002373781691858312,XPT_USD_high
AUD_CAD_low,0.006250632603041595,weekday
AUD_CHF_close,1420.4035704135895,AUD_CHF_close
AUD_CHF_close,2498.597153753042,AUD_CHF_vol
AUD_CHF_close,2289.040591239929,BCO_USD_high
AUD_CHF_close,2920.7106120586395,CHF_ZAR_high
AUD_CHF_close,2948.1957597732544,TRY_JPY_low
AUD_CHF_close,1862.7538117170334,USD_SAR_high
AUD_CHF_high,0.014907568874150456,AU200_AUD_close
AUD_CHF_high,0.00511824382647319,AUD_CHF_high
AUD_CHF_high,0.014244299477468303,AUD_CHF_low
AUD_CHF_high,0.006301327915934962,AUD_JPY_ma30
AUD_CHF_high,0.024575068909143738,AUD_NZD_close
AUD_CHF_high,0.010065413967822678,AUD_NZD_low
AUD_CHF_high,0.0037417091871247976,BCO_USD_close
AUD_CHF_high,0.010078728259031777,BCO_USD_low
AUD_CHF_high,0.013673736753844423,BCO_USD_open
AUD_CHF_high,0.007669120996979473,CAD_CHF_low
AUD_CHF_high,0.006952447474759538,CAD_HKD_low
AUD_CHF_high,0.007562814916127536,CHF_HKD_ma30
AUD_CHF_high,0.0039095875927159796,CORN_USD_low
AUD_CHF_high,0.005293255597280222,DE30_EUR_close
AUD_CHF_high,0.007729139352704806,EU50_EUR_close
AUD_CHF_high,0.008620404438261176,EU50_EUR_vol
AUD_CHF_high,0.015810577184311114,EUR_CZK_low
AUD_CHF_high,0.006334035278996453,EUR_HUF_high
AUD_CHF_high,0.00763887111133954,EUR_HUF_open
AUD_CHF_high,0.007173407570007839,EUR_NOK_high
AUD_CHF_high,0.005387196821175166,EUR_PLN_close
AUD_CHF_high,0.011695082428559544,EUR_PLN_open
AUD_CHF_high,0.012184947671812552,EUR_SEK_close
AUD_CHF_high,0.005093156107250252,FR40_EUR_close
AUD_CHF_high,0.003860086924760253,FR40_EUR_ma30
AUD_CHF_high,0.004752663017825398,FR40_EUR_open
AUD_CHF_high,0.009265005486668088,FR40_EUR_vol
AUD_CHF_high,0.005388052134549071,GBP_AUD_low
AUD_CHF_high,0.012686072615906596,GBP_CHF_low
