DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2014-01-19 23:03:00,NZD,Low Impact Expected,REINZ HPI m/m,-1.0%,,1.2%
2014-01-20 00:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,-0.1%,0.1%,0.1%
2014-01-20 03:00:00,EUR,Medium Impact Expected,German PPI m/m,0.1%,0.2%,-0.1%
2014-01-20 00:00:00,USD,Non-Economic,Bank Holiday,,,
2014-01-20 17:45:00,NZD,High Impact Expected,CPI q/q,0.1%,0.0%,0.9%
2014-01-21 06:00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,61.7,63.4,62.0
2014-01-21 06:00:00,EUR,Medium Impact Expected,ZEW Economic Sentiment,73.3,70.2,68.3
2014-01-21 07:00:00,GBP,Medium Impact Expected,CBI Industrial Order Expectations,-2,10,12
2014-01-21 09:30:00,CAD,High Impact Expected,Manufacturing Sales m/m,1.0%,0.3%,0.7%
2014-01-21 09:30:00,CAD,Medium Impact Expected,Wholesale Sales m/m,0.0%,0.3%,1.2%
2014-01-21 09:30:00,NZD,Low Impact Expected,GDT Price Index,1.4%,,-0.8%
2014-01-21 19:30:00,AUD,Medium Impact Expected,Westpac Consumer Sentiment,-1.7%,,-4.8%
2014-01-21 20:30:00,AUD,High Impact Expected,CPI q/q,0.8%,0.5%,1.2%
2014-01-21 20:30:00,AUD,Medium Impact Expected,Trimmed Mean CPI q/q,0.9%,0.6%,0.7%
2014-01-21 23:20:00,JPY,High Impact Expected,Monetary Policy Statement,,,
2014-01-22 00:33:00,JPY,Low Impact Expected,All Industries Activity m/m,0.3%,0.4%,-0.4%
2014-01-22 03:22:00,JPY,High Impact Expected,BOJ Press Conference,,,
2014-01-22 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2014-01-22 05:30:00,GBP,High Impact Expected,Claimant Count Change,-24.0K,-33.8K,-34.3K
2014-01-22 05:30:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
2014-01-22 05:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-0-9
2014-01-22 05:30:00,GBP,High Impact Expected,Unemployment Rate,7.1%,7.3%,7.4%
2014-01-22 05:30:00,GBP,Medium Impact Expected,Average Earnings Index 3m/y,0.9%,1.1%,0.9%
2014-01-22 05:30:00,GBP,Medium Impact Expected,Public Sector Net Borrowing,10.4B,12.1B,15.1B
2014-01-22 06:00:00,CHF,Medium Impact Expected,Credit Suisse Economic Expectations,36.4,,39.4
2014-01-22 11:00:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
2014-01-22 11:00:00,CAD,High Impact Expected,BOC Rate Statement,,,
2014-01-22 11:00:00,CAD,Medium Impact Expected,Overnight Rate,1.00%,1.00%,1.00%
2014-01-22 12:15:00,CAD,High Impact Expected,BOC Press Conference,,,
2014-01-22 14:00:00,GBP,Medium Impact Expected,MPC Member McCafferty Speaks,,,
2014-01-22 17:33:00,NZD,Medium Impact Expected,Business NZ Manufacturing Index,56.4,,57.0
2014-01-22 20:00:00,AUD,Medium Impact Expected,MI Inflation Expectations,2.3%,,2.1%
2014-01-22 21:45:00,CNY,High Impact Expected,Caixin Flash Manufacturing PMI,49.6,50.6,50.5
2014-01-22 22:00:00,CNY,Low Impact Expected,CB Leading Index m/m,0.4%,,1.3%
2014-01-23 01:00:00,JPY,Low Impact Expected,BOJ Monthly Report,,,
2014-01-23 04:00:00,EUR,High Impact Expected,French Flash Manufacturing PMI,48.8,47.6,47.0
2014-01-23 04:00:00,EUR,Medium Impact Expected,French Flash Services PMI,48.6,48.2,47.8
2014-01-23 04:00:00,EUR,Medium Impact Expected,Spanish Unemployment Rate,26.0%,26.0%,26.0%
2014-01-23 04:30:00,EUR,High Impact Expected,German Flash Manufacturing PMI,56.3,54.7,54.3
2014-01-23 04:30:00,EUR,Medium Impact Expected,German Flash Services PMI,53.6,54.1,53.5
2014-01-23 05:00:00,EUR,Medium Impact Expected,Current Account,23.5B,19.2B,22.2B
2014-01-23 05:00:00,EUR,Medium Impact Expected,Flash Manufacturing PMI,53.9,53.2,52.7
2014-01-23 05:00:00,EUR,Medium Impact Expected,Flash Services PMI,51.9,51.5,51.0
2014-01-23 05:00:00,GBP,Medium Impact Expected,MPC Member Fisher Speaks,,,
2014-01-23 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2014-01-23 06:34:00,GBP,Low Impact Expected,10-y Bond Auction,2.87|1.7,,2.73|1.8
2014-01-23 07:00:00,GBP,High Impact Expected,CBI Realized Sales,14,28,34
2014-01-23 09:30:00,CAD,High Impact Expected,Core Retail Sales m/m,0.4%,0.3%,0.5%
2014-01-23 09:30:00,CAD,Medium Impact Expected,Retail Sales m/m,0.6%,0.3%,-0.1%
2014-01-23 09:30:00,USD,High Impact Expected,Unemployment Claims,326K,331K,325K
2014-01-23 10:00:00,USD,Medium Impact Expected,Flash Manufacturing PMI,53.7,55.2,54.4
2014-01-23 10:00:00,USD,Low Impact Expected,HPI m/m,0.1%,0.4%,0.5%
2014-01-23 11:00:00,EUR,Low Impact Expected,Consumer Confidence,-12,-13,-14
2014-01-23 11:00:00,USD,High Impact Expected,Existing Home Sales,4.87M,4.94M,4.82M
