DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2017-01-08 00:00:00,JPY,Non-Economic,Bank Holiday,,,
2017-01-08 20:30:00,AUD,Medium Impact Expected,Building Approvals m/m,7.0%,4.6%,-11.8%
2017-01-08 20:30:00,AUD,Low Impact Expected,ANZ Job Advertisements m/m,-1.9%,,1.6%
2017-01-09 03:00:00,EUR,Low Impact Expected,German Industrial Production m/m,0.4%,0.7%,0.5%
2017-01-09 03:00:00,EUR,Low Impact Expected,German Trade Balance,21.7B,20.8B,20.6B
2017-01-09 04:15:00,CHF,Low Impact Expected,Retail Sales y/y,0.9%,0.4%,-0.7%
2017-01-09 04:30:00,GBP,Medium Impact Expected,Halifax HPI m/m,1.7%,0.3%,0.6%
2017-01-09 05:00:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,11.9%,11.6%,11.8%
2017-01-09 05:30:00,EUR,Low Impact Expected,Sentix Investor Confidence,18.2,12.6,10.0
2017-01-09 06:00:00,EUR,Low Impact Expected,Unemployment Rate,9.8%,9.8%,9.8%
2017-01-09 11:00:00,USD,Low Impact Expected,Labor Market Conditions Index m/m,-0.3,,2.1
2017-01-09 11:30:00,CAD,Medium Impact Expected,BOC Business Outlook Survey,,,
2017-01-09 16:00:00,USD,Low Impact Expected,Consumer Credit m/m,24.5B,18.3B,16.2B
2017-01-09 20:01:00,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,1.0%,,0.6%
2017-01-09 20:30:00,AUD,High Impact Expected,Retail Sales m/m,0.2%,0.4%,0.5%
2017-01-09 21:30:00,CNY,High Impact Expected,CPI y/y,2.1%,2.2%,2.3%
2017-01-09 21:30:00,CNY,Medium Impact Expected,PPI y/y,5.5%,4.6%,3.3%
2017-01-10 01:00:00,JPY,Low Impact Expected,Consumer Confidence,43.1,41.3,40.9
2017-01-10 02:45:00,CHF,Low Impact Expected,Unemployment Rate,3.3%,3.3%,3.3%
2017-01-10 03:45:00,EUR,Low Impact Expected,French Industrial Production m/m,2.2%,0.5%,-0.1%
2017-01-10 07:00:00,USD,Low Impact Expected,NFIB Small Business Index,105.8,99.6,98.4
2017-01-10 09:13:00,CAD,Low Impact Expected,Housing Starts,207K,187K,187K
2017-01-10 09:30:00,CAD,Medium Impact Expected,Building Permits m/m,-0.1%,2.4%,10.5%
2017-01-10 11:00:00,USD,Medium Impact Expected,JOLTS Job Openings,5.52M,5.59M,5.45M
2017-01-10 11:00:00,USD,Low Impact Expected,Final Wholesale Inventories m/m,1.0%,0.9%,0.9%
2017-01-10 23:45:00,JPY,Low Impact Expected,30-y Bond Auction,0.75|3.3,,0.62|2.9
2017-01-11 01:00:00,JPY,Low Impact Expected,Leading Indicators,102.7%,102.6%,100.8%
2017-01-11 05:30:00,GBP,High Impact Expected,Manufacturing Production m/m,1.3%,0.6%,-1.0%
2017-01-11 05:30:00,GBP,Medium Impact Expected,Goods Trade Balance,-12.2B,-11.2B,-9.9B
2017-01-11 05:30:00,GBP,Low Impact Expected,Construction Output m/m,-0.2%,0.3%,-0.6%
2017-01-11 05:30:00,GBP,Low Impact Expected,Industrial Production m/m,2.1%,0.8%,-1.1%
2017-01-11 06:33:00,EUR,Low Impact Expected,German 10-y Bond Auction,0.36|1.8,,0.21|2.0
2017-01-11 10:15:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2017-01-11 10:38:00,GBP,Low Impact Expected,NIESR GDP Estimate,0.5%,,0.5%
2017-01-11 11:00:00,USD,Low Impact Expected,IBD/TIPP Economic Optimism,55.6,53.9,54.8
2017-01-11 11:30:00,USD,High Impact Expected,Crude Oil Inventories,4.1M,0.9M,-7.1M
2017-01-11 12:00:00,USD,High Impact Expected,President Trump Speaks,,,
2017-01-11 14:01:00,USD,Low Impact Expected,10-y Bond Auction,2.34|2.6,,2.49|2.4
2017-01-11 14:20:00,USD,Medium Impact Expected,FOMC Member Dudley Speaks,,,
2017-01-11 19:50:00,JPY,Low Impact Expected,Bank Lending y/y,2.6%,2.4%,2.4%
2017-01-11 19:50:00,JPY,Low Impact Expected,Current Account,1.80T,1.48T,1.93T
2017-01-11 20:00:00,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.7%,,3.2%
2017-01-12 01:00:00,JPY,Low Impact Expected,Economy Watchers Sentiment,51.4,49.3,48.6
2017-01-12 03:45:00,EUR,Low Impact Expected,French Final CPI m/m,0.3%,0.3%,0.3%
2017-01-12 05:00:00,CNY,Low Impact Expected,M2 Money Supply y/y,11.3%,11.4%,11.4%
2017-01-12 05:00:00,CNY,Low Impact Expected,New Loans,1040B,676B,795B
2017-01-12 05:00:00,EUR,Low Impact Expected,Italian Industrial Production m/m,0.7%,0.2%,0.1%
2017-01-12 06:00:00,EUR,Low Impact Expected,Industrial Production m/m,1.5%,0.5%,0.1%
2017-01-12 06:34:00,GBP,Low Impact Expected,10-y Bond Auction,1.16|2.5,,1.39|2.0
2017-01-12 08:30:00,EUR,Medium Impact Expected,ECB Monetary Policy Meeting Accounts,,,
2017-01-12 09:30:00,CAD,Medium Impact Expected,NHPI m/m,0.2%,0.3%,0.4%
2017-01-12 09:30:00,USD,High Impact Expected,Unemployment Claims,247K,266K,237K
2017-01-12 09:30:00,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
2017-01-12 09:30:00,USD,Medium Impact Expected,FOMC Member Harker Speaks,,,
2017-01-12 09:30:00,USD,Medium Impact Expected,Import Prices m/m,0.4%,0.8%,-0.2%
2017-01-12 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-151B,-150B,-49B
2017-01-12 14:01:00,USD,Low Impact Expected,30-y Bond Auction,2.91|2.3,,3.15|2.4
2017-01-12 15:00:00,USD,Low Impact Expected,Federal Budget Balance,-27.5B,-21.0B,-136.7B
2017-01-12 19:50:00,JPY,Low Impact Expected,M2 Money Stock y/y,4.0%,4.1%,3.9%
2017-01-12 20:00:00,USD,High Impact Expected,Fed Chair Yellen Speaks,,,
2017-01-12 22:47:00,CNY,Low Impact Expected,USD-Denominated Trade Balance,40.8B,47.6B,44.6B
2017-01-12 22:50:00,CNY,High Impact Expected,Trade Balance,275B,345B,298B
2017-01-13 03:00:00,EUR,Low Impact Expected,German WPI m/m,1.2%,0.3%,0.1%
2017-01-13 05:30:00,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
2017-01-13 05:30:00,GBP,Medium Impact Expected,MPC Member Saunders Speaks,,,
2017-01-13 07:12:00,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,4.1%,,3.9%
2017-01-13 09:30:00,USD,High Impact Expected,Core Retail Sales m/m,0.2%,0.5%,0.3%
2017-01-13 09:30:00,USD,High Impact Expected,PPI m/m,0.3%,0.1%,0.4%
2017-01-13 09:30:00,USD,High Impact Expected,Retail Sales m/m,0.6%,0.5%,0.2%
2017-01-13 09:30:00,USD,Medium Impact Expected,Core PPI m/m,0.2%,0.3%,0.4%
2017-01-13 10:30:00,USD,Medium Impact Expected,FOMC Member Harker Speaks,,,
2017-01-13 11:00:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,98.1,98.6,98.2
2017-01-13 11:00:00,USD,Low Impact Expected,Business Inventories m/m,0.7%,0.3%,-0.1%
2017-01-13 11:00:00,USD,Low Impact Expected,Prelim UoM Inflation Expectations,2.6%,,2.2%
2017-01-15 17:45:00,NZD,Low Impact Expected,FPI m/m,-0.8%,,-0.1%
2017-01-15 19:50:00,JPY,Low Impact Expected,Core Machinery Orders m/m,-5.1%,-1.3%,4.1%
2017-01-15 19:50:00,JPY,Low Impact Expected,PPI y/y,-1.2%,-1.4%,-2.2%
2017-01-15 20:00:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.5%,,0.1%
2017-01-15 20:01:00,GBP,Low Impact Expected,Rightmove HPI m/m,0.4%,,-2.1%
2017-01-16 00:30:00,JPY,Low Impact Expected,Tertiary Industry Activity m/m,0.2%,0.2%,0.0%
2017-01-16 01:59:00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,4.4%,,-5.6%
2017-01-16 06:00:00,EUR,Low Impact Expected,Trade Balance,22.7B,23.2B,19.9B
2017-01-16 00:00:00,USD,Non-Economic,Bank Holiday,,,
2017-01-16 14:30:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2017-01-16 17:00:00,NZD,Medium Impact Expected,NZIER Business Confidence,28,,26
2017-01-16 20:30:00,AUD,Low Impact Expected,Home Loans m/m,0.9%,0.1%,-0.6%
2017-01-16 20:30:00,AUD,Low Impact Expected,New Motor Vehicle Sales m/m,0.3%,,-0.7%
2017-01-17 00:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,1.5%,1.5%,1.5%
2017-01-17 05:00:00,EUR,Low Impact Expected,Italian Trade Balance,4.20B,3.84B,4.29B
2017-01-17 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2017-01-17 05:30:00,GBP,High Impact Expected,CPI y/y,1.6%,1.4%,1.2%
2017-01-17 05:30:00,GBP,Medium Impact Expected,PPI Input m/m,1.8%,2.2%,-0.6%
2017-01-17 05:30:00,GBP,Medium Impact Expected,RPI y/y,2.5%,2.3%,2.2%
2017-01-17 05:30:00,GBP,Low Impact Expected,Core CPI y/y,1.6%,1.4%,1.4%
2017-01-17 05:30:00,GBP,Low Impact Expected,HPI y/y,6.7%,6.3%,6.4%
2017-01-17 05:30:00,GBP,Low Impact Expected,PPI Output m/m,0.1%,0.3%,0.1%
2017-01-17 06:00:00,EUR,Medium Impact Expected,German ZEW Economic Sentiment,16.6,18.9,13.8
2017-01-17 06:00:00,EUR,Low Impact Expected,ZEW Economic Sentiment,23.2,24.2,18.1
2017-01-17 06:36:00,EUR,Low Impact Expected,French Gov Budget Balance,-93.3B,,-85.5B
2017-01-17 07:45:00,GBP,High Impact Expected,Prime Minister May Speaks,,,
2017-01-17 09:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,6.5,8.1,9.0
2017-01-17 09:45:00,USD,Medium Impact Expected,FOMC Member Dudley Speaks,,,
2017-01-17 09:47:00,NZD,High Impact Expected,GDT Price Index,0.6%,,-3.9%
2017-01-17 10:30:00,GBP,Low Impact Expected,CB Leading Index m/m,0.0%,,0.1%
2017-01-17 11:00:00,USD,High Impact Expected,Treasury Sec Lew Speaks,,,
2017-01-17 11:00:00,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
2017-01-17 19:30:00,AUD,Low Impact Expected,Westpac Consumer Sentiment,0.1%,,-3.9%
2017-01-18 03:00:00,EUR,Low Impact Expected,German Final CPI m/m,0.7%,0.7%,0.7%
2017-01-18 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2017-01-18 05:30:00,GBP,High Impact Expected,Average Earnings Index 3m/y,2.8%,2.6%,2.6%
2017-01-18 05:30:00,GBP,High Impact Expected,Claimant Count Change,-10.1K,4.6K,1.3K
2017-01-18 05:30:00,GBP,Medium Impact Expected,Unemployment Rate,4.8%,4.8%,4.8%
2017-01-18 06:00:00,EUR,Medium Impact Expected,Final CPI y/y,1.1%,1.1%,1.1%
2017-01-18 06:00:00,EUR,Low Impact Expected,Final Core CPI y/y,0.9%,0.9%,0.9%
2017-01-18 09:30:00,USD,High Impact Expected,CPI m/m,0.3%,0.3%,0.2%
2017-01-18 09:30:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.2%,0.2%
2017-01-18 10:15:00,USD,Medium Impact Expected,Capacity Utilization Rate,75.5%,75.6%,74.9%
2017-01-18 10:15:00,USD,Medium Impact Expected,Industrial Production m/m,0.8%,0.8%,-0.7%
2017-01-18 11:00:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
2017-01-18 11:00:00,CAD,High Impact Expected,BOC Rate Statement,,,
2017-01-18 11:00:00,CAD,High Impact Expected,Overnight Rate,0.50%,0.50%,0.50%
2017-01-18 11:00:00,USD,Low Impact Expected,NAHB Housing Market Index,67,69,69
2017-01-18 12:00:00,USD,Medium Impact Expected,FOMC Member Kashkari Speaks,,,
2017-01-18 12:15:00,CAD,High Impact Expected,BOC Press Conference,,,
2017-01-18 15:00:00,USD,Low Impact Expected,Beige Book,,,
2017-01-18 16:00:00,USD,High Impact Expected,Fed Chair Yellen Speaks,,,
2017-01-18 17:00:00,USD,Low Impact Expected,TIC Long-Term Purchases,30.8B,21.3B,9.3B
2017-01-18 17:30:00,NZD,Low Impact Expected,Business NZ Manufacturing Index,54.5,,54.5
2017-01-18 17:45:00,NZD,Low Impact Expected,Building Consents m/m,-9.2%,,2.0%
2017-01-18 20:00:00,AUD,Low Impact Expected,MI Inflation Expectations,4.3%,,3.4%
2017-01-18 20:01:00,GBP,Low Impact Expected,RICS House Price Balance,24%,32%,29%
2017-01-18 20:30:00,AUD,High Impact Expected,Employment Change,13.5K,10.2K,37.1K
2017-01-18 20:30:00,AUD,High Impact Expected,Unemployment Rate,5.8%,5.7%,5.7%
2017-01-19 04:15:00,CHF,Medium Impact Expected,PPI m/m,0.2%,0.2%,0.1%
2017-01-19 05:00:00,EUR,Low Impact Expected,Current Account,36.1B,29.3B,28.3B
2017-01-19 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2017-01-19 08:45:00,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%
2017-01-19 09:30:00,CAD,High Impact Expected,Manufacturing Sales m/m,1.5%,0.2%,-0.6%
2017-01-19 09:30:00,CAD,Medium Impact Expected,Foreign Securities Purchases,7.24B,10.23B,15.77B
2017-01-19 09:30:00,EUR,High Impact Expected,ECB Press Conference,,,
2017-01-19 09:30:00,USD,High Impact Expected,Building Permits,1.21M,1.22M,1.21M
2017-01-19 09:30:00,USD,High Impact Expected,Philly Fed Manufacturing Index,23.6,16.3,21.5
2017-01-19 09:30:00,USD,High Impact Expected,Unemployment Claims,234K,252K,249K
2017-01-19 09:30:00,USD,Medium Impact Expected,Housing Starts,1.23M,1.19M,1.10M
2017-01-19 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-243B,-235B,-151B
2017-01-19 12:00:00,USD,High Impact Expected,Crude Oil Inventories,2.3M,0.1M,4.1M
2017-01-19 20:00:00,AUD,Low Impact Expected,HIA New Home Sales m/m,6.1%,,-8.5%
2017-01-19 21:00:00,USD,High Impact Expected,Fed Chair Yellen Speaks,,,
2017-01-19 22:00:00,CNY,High Impact Expected,GDP q/y,6.8%,6.7%,6.7%
2017-01-19 22:00:00,CNY,High Impact Expected,Industrial Production y/y,6.0%,6.1%,6.2%
2017-01-19 22:00:00,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,8.1%,8.3%,8.3%
2017-01-19 22:00:00,CNY,Medium Impact Expected,NBS Press Conference,,,
2017-01-19 22:00:00,CNY,Low Impact Expected,Retail Sales y/y,10.9%,10.7%,10.8%
2017-01-20 03:00:00,EUR,Low Impact Expected,German PPI m/m,0.4%,0.4%,0.3%
2017-01-20 00:00:00,All,Medium Impact Expected,WEF Annual Meetings,,,
2017-01-20 05:30:00,GBP,High Impact Expected,Retail Sales m/m,-1.9%,-0.1%,-0.1%
2017-01-20 09:30:00,CAD,High Impact Expected,CPI m/m,-0.2%,0.0%,-0.4%
2017-01-20 09:30:00,CAD,High Impact Expected,Core Retail Sales m/m,0.1%,0.1%,1.4%
2017-01-20 09:30:00,CAD,Medium Impact Expected,Common CPI y/y,1.4%,,1.3%
2017-01-20 09:30:00,CAD,Medium Impact Expected,Median CPI y/y,2.0%,,2.0%
2017-01-20 09:30:00,CAD,Medium Impact Expected,Retail Sales m/m,0.2%,0.5%,1.2%
2017-01-20 09:30:00,CAD,Medium Impact Expected,Trimmed CPI y/y,1.6%,,1.6%
2017-01-20 09:32:00,CAD,Low Impact Expected,Core CPI m/m,-0.3%,0.2%,-0.5%
2017-01-20 10:00:00,USD,Medium Impact Expected,FOMC Member Harker Speaks,,,
2017-01-20 13:00:00,USD,High Impact Expected,President Trump Speaks,,,
2017-01-22 05:15:00,All,Medium Impact Expected,OPEC-JMMC Meetings,,,
2017-01-23 00:30:00,JPY,Low Impact Expected,All Industries Activity m/m,0.3%,0.4%,0.0%
2017-01-23 07:00:00,EUR,Low Impact Expected,German Buba Monthly Report,,,
2017-01-23 07:30:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2017-01-23 09:30:00,CAD,Medium Impact Expected,Wholesale Sales m/m,0.2%,0.3%,1.3%
2017-01-23 10:00:00,CNY,Low Impact Expected,CB Leading Index m/m,0.8%,,1.3%
2017-01-23 11:00:00,EUR,Low Impact Expected,Consumer Confidence,-5,-5,-5
2017-01-23 20:30:00,JPY,Low Impact Expected,Flash Manufacturing PMI,52.8,52.3,52.4
2017-01-24 04:00:00,EUR,Medium Impact Expected,French Flash Manufacturing PMI,53.4,53.4,53.5
2017-01-24 04:00:00,EUR,Medium Impact Expected,French Flash Services PMI,53.9,53.2,52.9
2017-01-24 04:30:00,EUR,Medium Impact Expected,German Flash Manufacturing PMI,56.5,55.5,55.6
2017-01-24 04:30:00,EUR,Medium Impact Expected,German Flash Services PMI,53.2,54.6,54.3
2017-01-24 05:00:00,EUR,Medium Impact Expected,Flash Manufacturing PMI,55.1,54.8,54.9
2017-01-24 05:00:00,EUR,Medium Impact Expected,Flash Services PMI,53.6,53.9,53.7
2017-01-24 05:30:00,GBP,High Impact Expected,EU Membership Court Ruling,,,
2017-01-24 05:30:00,GBP,Medium Impact Expected,Public Sector Net Borrowing,6.4B,6.7B,10.8B
2017-01-24 10:45:00,USD,Low Impact Expected,Flash Manufacturing PMI,55.1,54.6,54.3
2017-01-24 11:00:00,USD,Medium Impact Expected,Existing Home Sales,5.49M,5.54M,5.65M
2017-01-24 11:00:00,USD,Low Impact Expected,Richmond Manufacturing Index,12,7,8
2017-01-24 11:30:00,AUD,Low Impact Expected,CB Leading Index m/m,0.5%,,-0.4%
2017-01-24 19:30:00,AUD,Low Impact Expected,MI Leading Index m/m,0.4%,,0.0%
2017-01-24 19:50:00,JPY,Low Impact Expected,Trade Balance,0.36T,0.22T,0.47T
2017-01-24 20:30:00,AUD,High Impact Expected,CPI q/q,0.5%,0.7%,0.7%
2017-01-24 20:30:00,AUD,High Impact Expected,Trimmed Mean CPI q/q,0.4%,0.5%,0.4%
2017-01-24 22:00:00,NZD,Low Impact Expected,Credit Card Spending y/y,8.5%,,4.1%
2017-01-25 03:00:00,CHF,Low Impact Expected,UBS Consumption Indicator,1.50,,1.45
2017-01-25 05:00:00,CHF,Low Impact Expected,Credit Suisse Economic Expectations,18.5,,12.9
2017-01-25 05:00:00,EUR,High Impact Expected,German Ifo Business Climate,109.8,111.3,111.0
2017-01-25 06:33:00,EUR,Low Impact Expected,German 30-y Bond Auction,1.20|1.4,,0.64|1.7
2017-01-25 07:00:00,GBP,Low Impact Expected,CBI Industrial Order Expectations,5,2,0
2017-01-25 09:59:00,EUR,Low Impact Expected,Belgian NBB Business Climate,0.5,0.4,-0.2
2017-01-25 10:00:00,USD,Low Impact Expected,HPI m/m,0.5%,0.4%,0.3%
2017-01-25 11:30:00,USD,High Impact Expected,Crude Oil Inventories,2.8M,1.5M,2.3M
2017-01-25 12:50:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2017-01-25 00:00:00,AUD,Non-Economic,Bank Holiday,,,
2017-01-25 17:45:00,NZD,High Impact Expected,CPI q/q,0.4%,0.3%,0.3%
2017-01-25 19:50:00,JPY,Low Impact Expected,SPPI y/y,0.4%,0.4%,0.3%
2017-01-26 03:00:00,CHF,Low Impact Expected,Trade Balance,2.72B,2.81B,3.50B
2017-01-26 03:00:00,EUR,Low Impact Expected,German GfK Consumer Climate,10.2,10.0,9.9
2017-01-26 04:00:00,EUR,Medium Impact Expected,Spanish Unemployment Rate,18.6%,18.9%,18.9%
2017-01-26 04:30:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2017-01-26 05:00:00,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.7%,0.1%,1.2%
2017-01-26 05:30:00,GBP,High Impact Expected,Prelim GDP q/q,0.6%,0.5%,0.6%
2017-01-26 05:30:00,GBP,Low Impact Expected,High Street Lending,43.2K,41.1K,41.0K
2017-01-26 05:30:00,GBP,Low Impact Expected,Index of Services 3m/3m,1.0%,0.9%,1.1%
2017-01-26 00:00:00,EUR,High Impact Expected,Eurogroup Meetings,,,
2017-01-26 07:00:00,GBP,Low Impact Expected,CBI Realized Sales,-8,28,35
2017-01-26 09:30:00,USD,High Impact Expected,Unemployment Claims,259K,247K,237K
2017-01-26 09:30:00,USD,Low Impact Expected,Goods Trade Balance,-65.0B,-64.5B,-66.6B
2017-01-26 09:30:00,USD,Low Impact Expected,Prelim Wholesale Inventories m/m,1.0%,0.9%,1.0%
2017-01-26 10:45:00,USD,Low Impact Expected,Flash Services PMI,55.1,54.4,53.9
2017-01-26 11:00:00,USD,Medium Impact Expected,New Home Sales,536K,585K,598K
2017-01-26 11:00:00,USD,Low Impact Expected,CB Leading Index m/m,0.5%,0.5%,0.1%
2017-01-26 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-119B,-121B,-243B
2017-01-26 19:30:00,JPY,Medium Impact Expected,Tokyo Core CPI y/y,-0.3%,-0.4%,-0.6%
2017-01-26 19:30:00,JPY,Low Impact Expected,National Core CPI y/y,-0.2%,-0.3%,-0.4%
2017-01-26 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2017-01-26 20:30:00,AUD,Low Impact Expected,Import Prices q/q,0.2%,0.4%,-1.0%
2017-01-26 20:30:00,AUD,Low Impact Expected,PPI q/q,0.5%,0.2%,0.3%
2017-01-27 01:00:00,JPY,Low Impact Expected,BOJ Core CPI y/y,0.1%,0.1%,0.2%
2017-01-27 03:00:00,EUR,Low Impact Expected,German Import Prices m/m,1.9%,1.3%,0.7%
2017-01-27 05:00:00,EUR,Medium Impact Expected,M3 Money Supply y/y,5.0%,4.9%,4.8%
2017-01-27 05:00:00,EUR,Low Impact Expected,Private Loans y/y,2.0%,2.0%,1.9%
2017-01-27 00:00:00,EUR,Medium Impact Expected,ECOFIN Meetings,,,
2017-01-27 09:30:00,USD,High Impact Expected,Advance GDP q/q,1.9%,2.1%,3.5%
2017-01-27 09:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,0.5%,0.5%,0.6%
2017-01-27 09:30:00,USD,Medium Impact Expected,Advance GDP Price Index q/q,2.1%,2.1%,1.4%
2017-01-27 09:30:00,USD,Medium Impact Expected,Durable Goods Orders m/m,-0.4%,2.7%,-4.5%
2017-01-27 11:00:00,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,98.5,98.2,98.1
2017-01-27 11:00:00,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.6%,,2.6%
2017-01-29 17:45:00,NZD,Medium Impact Expected,Trade Balance,-41M,-95M,-746M
2017-01-29 19:50:00,JPY,Low Impact Expected,Retail Sales y/y,0.6%,1.6%,1.7%
2017-01-29 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2017-01-30 00:00:00,EUR,Medium Impact Expected,German Prelim CPI m/m,-0.6%,-0.5%,0.7%
2017-01-30 03:45:00,AUD,Medium Impact Expected,RBA Assist Gov Debelle Speaks,,,
2017-01-30 04:00:00,CHF,Medium Impact Expected,KOF Economic Barometer,101.7,102.9,102.1
2017-01-30 04:00:00,EUR,Medium Impact Expected,Spanish Flash GDP q/q,0.7%,0.7%,0.7%
2017-01-30 06:18:00,EUR,Low Impact Expected,Italian 10-y Bond Auction,2.37|1.3,,1.77|1.4
2017-01-30 09:30:00,USD,Medium Impact Expected,Core PCE Price Index m/m,0.1%,0.1%,0.0%
2017-01-30 09:30:00,USD,Medium Impact Expected,Personal Spending m/m,0.5%,0.4%,0.2%
2017-01-30 09:30:00,USD,Low Impact Expected,Personal Income m/m,0.3%,0.4%,0.1%
2017-01-30 11:00:00,USD,Medium Impact Expected,Pending Home Sales m/m,1.6%,1.6%,-2.5%
2017-01-30 17:45:00,NZD,Low Impact Expected,Visitor Arrivals m/m,-1.3%,,0.4%
2017-01-30 19:22:00,GBP,Low Impact Expected,GfK Consumer Confidence,-5,-8,-7
2017-01-30 19:30:00,JPY,Medium Impact Expected,Household Spending y/y,-0.3%,-0.8%,-1.5%
2017-01-30 19:30:00,JPY,Low Impact Expected,Unemployment Rate,3.1%,3.1%,3.1%
2017-01-30 19:50:00,JPY,Low Impact Expected,Prelim Industrial Production m/m,0.5%,0.4%,1.5%
2017-01-30 00:00:00,CNY,Non-Economic,Bank Holiday,,,
2017-01-30 20:30:00,AUD,Low Impact Expected,NAB Business Confidence,6,,6
2017-01-30 20:30:00,AUD,Low Impact Expected,Private Sector Credit m/m,0.7%,0.5%,0.5%
2017-01-30 22:56:00,JPY,High Impact Expected,BOJ Outlook Report,,,
2017-01-30 22:56:00,JPY,High Impact Expected,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
2017-01-30 22:56:00,JPY,High Impact Expected,Monetary Policy Statement,,,
2017-01-31 01:00:00,JPY,Low Impact Expected,Housing Starts y/y,3.9%,8.5%,6.7%
2017-01-31 02:30:00,EUR,Low Impact Expected,French Flash GDP q/q,0.4%,0.4%,0.2%
2017-01-31 02:30:00,JPY,High Impact Expected,BOJ Press Conference,,,
2017-01-31 03:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,-0.9%,0.6%,-1.7%
2017-01-31 03:45:00,EUR,Low Impact Expected,French Consumer Spending m/m,-0.8%,0.2%,0.6%
2017-01-31 03:45:00,EUR,Low Impact Expected,French Prelim CPI m/m,-0.2%,-0.5%,0.3%
2017-01-31 04:00:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2017-01-31 04:00:00,EUR,Medium Impact Expected,Spanish Flash CPI y/y,3.0%,2.4%,1.6%
2017-01-31 04:55:00,EUR,Medium Impact Expected,German Unemployment Change,-26K,-5K,-20K
2017-01-31 05:00:00,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,12.0%,11.8%,12.0%
2017-01-31 05:30:00,GBP,Medium Impact Expected,Net Lending to Individuals m/m,4.8B,5.3B,5.1B
2017-01-31 05:30:00,GBP,Low Impact Expected,M4 Money Supply m/m,-0.5%,0.3%,0.4%
2017-01-31 05:30:00,GBP,Low Impact Expected,Mortgage Approvals,68K,69K,67K
2017-01-31 06:00:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.8%,1.5%,1.1%
2017-01-31 06:00:00,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.9%,0.9%,0.9%
2017-01-31 06:00:00,EUR,Medium Impact Expected,Prelim Flash GDP q/q,0.5%,0.4%,0.3%
2017-01-31 06:00:00,EUR,Low Impact Expected,Unemployment Rate,9.6%,9.8%,9.7%
2017-01-31 06:33:00,GBP,Low Impact Expected,10-y Bond Auction,1.45|2.3,,1.16|2.5
2017-01-31 09:30:00,CAD,High Impact Expected,GDP m/m,0.4%,0.3%,-0.2%
2017-01-31 09:30:00,CAD,Medium Impact Expected,RMPI m/m,6.5%,2.9%,-1.6%
2017-01-31 09:30:00,CAD,Low Impact Expected,IPPI m/m,0.4%,0.5%,0.4%
2017-01-31 09:30:00,USD,Medium Impact Expected,Employment Cost Index q/q,0.5%,0.6%,0.6%
2017-01-31 10:00:00,USD,Low Impact Expected,S&P/CS Composite-20 HPI y/y,5.3%,5.0%,5.1%
2017-01-31 10:45:00,USD,Medium Impact Expected,Chicago PMI,50.3,55.1,54.6
2017-01-31 11:00:00,USD,High Impact Expected,CB Consumer Confidence,111.8,112.6,113.3
2017-01-31 17:45:00,NZD,High Impact Expected,Employment Change q/q,0.8%,0.8%,1.3%
2017-01-31 17:45:00,NZD,High Impact Expected,Unemployment Rate,5.2%,4.8%,4.9%
